"""id""",firstname,lastname,team,gp,minutes,fgm,fga,fgpct,threem,threea,threepct,ftm,fta,ftpct,offreb,defreb,reb,ast,to,stl,blk,pf,ppg,created_at,updated_at,fanduelpts
152, Courtney,Lee,MEM,21,32.1,4.5,8.3,53.7,1.6,2.9,54.1,1.7,1.9,89.7,0.4,2.3,2.7,2.3,1.1,1.1,0.2,1.7,12.2,2014-12-17T08:30:59.649Z,2014-12-17T08:30:59.649Z,20.39
153, Marreese,Speights,GS,23,17.1,5,9.3,53,0,0.1,0,2.3,2.9,79.1,1.9,3.4,5.3,0.7,1.2,0.3,0.7,2.8,12.2,2014-12-17T08:30:59.652Z,2014-12-17T08:30:59.652Z,20.41
154, Andre,Drummond,DET,25,29.9,5.2,10.8,48,0,0,N/A ,1.7,3.6,46.7,4.5,7.4,11.9,0.4,1.5,0.9,1.7,3.5,12.1,2014-12-17T08:30:59.654Z,2014-12-17T08:30:59.654Z,30.68
155, Jonas,Valanciunas,TOR,24,26.7,4.1,7.6,54.1,0,0,N/A ,3.4,4.2,81,2.4,6.6,9,0.4,1.3,0.3,1.2,2.6,11.6,2014-12-17T08:30:59.656Z,2014-12-17T08:30:59.656Z,24.7
156, Trey,Burke,UTA,25,32.3,4.4,11.8,37.1,1.4,4.6,31.6,1.3,1.6,80,0.6,1.8,2.4,5.4,2,0.9,0.3,1.6,11.4,2014-12-17T08:30:59.658Z,2014-12-17T08:30:59.658Z,22.78
157, Harrison,Barnes,GS,24,31,4,7.6,53,1,2.3,41.1,2.2,2.8,78.8,1.5,4.9,6.4,1.5,1,0.5,0.3,1.7,11.2,2014-12-17T08:30:59.660Z,2014-12-17T08:30:59.660Z,21.73
158, Kelly,Olynyk,BOS,22,25.4,4.3,8.4,51.1,1,2.5,41.1,1.6,2.3,72,1.7,3.9,5.6,2,2,1.3,0.7,3.9,11.2,2014-12-17T08:30:59.662Z,2014-12-17T08:30:59.662Z,22.92
159, O.J.,Mayo,MIL,25,23.9,3.8,9.5,40.5,1.2,3.9,29.6,2,2.4,85,0.6,1.8,2.3,2.9,1.8,0.7,0.2,2.6,10.9,2014-12-17T08:30:59.665Z,2014-12-17T08:30:59.665Z,18.01
160, Donald,Sloan,IND,22,28.5,3.8,10,38,1.3,3.7,35.8,1.7,2.3,76,0.4,3.5,3.9,4.5,1.5,0.5,0,1.2,10.7,2014-12-17T08:30:59.667Z,2014-12-17T08:30:59.667Z,21.63
161, Mike,Dunleavy,CHI,24,30.9,3.7,8,45.8,1.9,4.7,40.7,1.5,1.9,76.1,0.3,3.5,3.8,2,0.9,0.6,0.4,1.8,10.7,2014-12-17T08:30:59.669Z,2014-12-17T08:30:59.669Z,19.36
162, Tyson,Chandler,DAL,26,29.6,4.2,6.1,68.6,0,0,N/A ,2.2,3.1,71.6,4.2,7.5,11.6,1.2,1.5,0.6,1.4,2.3,10.6,2014-12-17T08:30:59.671Z,2014-12-17T08:30:59.671Z,28.82
163, Corey,Brewer,MIN,24,28.3,3.9,9.4,41.8,0.3,1.7,19.5,2.3,3.3,70.5,1.3,2.6,3.9,3.3,2.1,2.3,0.2,2.6,10.5,2014-12-17T08:30:59.673Z,2014-12-17T08:30:59.673Z,23.03
164, Aaron,Brooks,CHI,24,18.6,3.8,8.1,46.7,1.3,3,43.7,1.5,1.7,85.4,0.4,1.3,1.6,3,2,0.5,0.2,2.3,10.3,2014-12-17T08:30:59.676Z,2014-12-17T08:30:59.676Z,16.12
166, Anderson,Varejao,CLE,22,25.2,4.4,8,54.9,0,0.1,0,1.3,1.8,71.8,2.3,4.5,6.8,1.4,1.5,0.8,0.7,2.2,10,2014-12-17T08:30:59.680Z,2014-12-17T08:30:59.680Z,21.76
167, Chris,Copeland,IND,25,24.3,3.5,9.5,37,1.7,5.1,33.6,1.2,1.6,74.4,0.8,2.4,3.2,1.3,1.9,0.3,0.2,2.1,9.9,2014-12-17T08:30:59.682Z,2014-12-17T08:30:59.682Z,14.79
168, Marcus,Morris,PHO,26,24.2,3.7,8.8,42.2,1.5,3.8,39.8,0.9,1.3,69.7,0.8,3,3.9,1.5,0.8,0.6,0.2,2.4,9.8,2014-12-17T08:30:59.684Z,2014-12-17T08:30:59.684Z,17.53
169, Robin,Lopez,POR,25,27.8,4,8,50.5,0,0,N/A ,1.5,1.8,80.4,3.3,3.9,7.2,1.2,1.4,0.4,1.5,2.5,9.6,2014-12-17T08:30:59.686Z,2014-12-17T08:30:59.686Z,22.44
170, Matt,Barnes,LAC,22,27.3,3.4,7.2,47.5,1.6,4.1,39.6,1,1.3,79.3,0.4,2.6,3,1.1,1.2,0.6,0.5,3.1,9.5,2014-12-17T08:30:59.688Z,2014-12-17T08:30:59.688Z,15.75
171, K.J.,McDaniels,PHI,23,25.1,3.3,8.3,40.3,1,3.5,30,1.7,2.3,74.1,1.3,2.5,3.9,1.2,1.8,1,1.6,2.5,9.5,2014-12-17T08:30:59.690Z,2014-12-17T08:30:59.690Z,19.38
172, Dion,Waiters,CLE,22,22.9,3.7,9.4,39.6,0.7,2.5,27.8,1.2,1.5,76.5,0.1,1,1.2,2.1,1.2,1.1,0.2,1.8,9.3,2014-12-17T08:30:59.692Z,2014-12-17T08:30:59.692Z,15.29
173, Cory,Joseph,SA,23,22.6,3.7,7.1,51.5,0.3,1,33.3,1.6,2.3,68.5,0.7,2.1,2.9,2.6,0.9,0.7,0.3,1.8,9.3,2014-12-17T08:30:59.694Z,2014-12-17T08:30:59.694Z,17.78
174, Zach,LaVine,MIN,21,25.8,3.4,8.8,39.1,0.5,1.9,25,1.8,2.1,82.2,0.1,2.4,2.6,3.5,2.4,0.7,0.2,2.3,9.1,2014-12-17T08:30:59.696Z,2014-12-17T08:30:59.696Z,16.87
175, Jarrett,Jack,BKN,23,24.8,3.5,8,43.5,0.1,1.1,11.5,2,2.3,84.9,0.2,2.6,2.8,3.4,1.8,1,0.1,2,9,2014-12-17T08:30:59.698Z,2014-12-17T08:30:59.698Z,17.86
176, Brandon,Bass,BOS,22,19.5,3.5,7.2,48.4,0,0.1,0,2,2.6,78.9,1,2.9,3.9,1,1,0.5,0.3,1.6,9,2014-12-17T08:30:59.701Z,2014-12-17T08:30:59.701Z,15.78
178, Greivis,Vasquez,TOR,25,21.1,3.4,8.9,38.1,1.1,3.8,29.5,0.8,1.1,77.8,0.2,2,2.2,3.1,1.3,0.6,0.2,2,8.8,2014-12-17T08:30:59.705Z,2014-12-17T08:30:59.705Z,16.39
179, DeAndre,Jordan,LAC,24,33,3.9,5.3,73.4,0,0,0,1,2.2,44.2,3.7,8.9,12.6,0.7,1.2,1,2.5,2.8,8.8,2014-12-17T08:30:59.707Z,2014-12-17T08:30:59.707Z,30.77
180, Gorgui,Dieng,MIN,24,27.3,3.1,6.1,51,0,0,0,2.5,3.2,76.6,3.3,4.8,8.1,2,1.2,1,1.4,2.7,8.7,2014-12-17T08:30:59.709Z,2014-12-17T08:30:59.709Z,25.02
181, Patrick,Patterson,TOR,25,26.3,3.1,6.3,49.7,1.6,3.4,46.4,0.8,1,83.3,1.6,4,5.5,1.8,0.7,0.7,0.5,1.7,8.6,2014-12-17T08:30:59.711Z,2014-12-17T08:30:59.711Z,19.6
182, Carl,Landry,SAC,25,19.2,3.1,6,51.7,0,0,N/A ,2.2,2.5,85.7,1.9,2.4,4.2,0.6,1.2,0.3,0.3,2.5,8.3,2014-12-17T08:30:59.714Z,2014-12-17T08:30:59.714Z,14.24
183, Channing,Frye,ORL,26,32.8,2.9,7,41.4,2,4.9,40.9,0.3,0.5,75,0.3,5,5.4,1.5,1.3,0.7,0.7,3,8.1,2014-12-17T08:30:59.716Z,2014-12-17T08:30:59.716Z,18.33
184, Rajon,Rondo,BOS,21,31.7,3.6,9,39.9,0.3,1.4,24.1,0.6,1.7,33.3,1.1,6.4,7.5,10.6,3.3,1.7,0.1,2,8,2014-12-17T08:30:59.718Z,2014-12-17T08:30:59.718Z,33.2
185, Mike,Scott,ATL,22,14.3,3,6.3,47.1,1.1,2.8,39.3,1,1.2,85.2,0.4,1.8,2.2,0.7,0.7,0.2,0,1.6,8,2014-12-17T08:30:59.720Z,2014-12-17T08:30:59.720Z,11.39
186, Hollis,Thompson,PHI,24,28.1,2.8,7.1,40,1.4,4,34.7,0.8,1.3,62.5,0.6,2.6,3.2,1.2,1,1.1,0.3,2.5,7.9,2014-12-17T08:30:59.722Z,2014-12-17T08:30:59.722Z,15.34
187, Gerald,Henderson,CHA,22,23.7,3.1,6.9,45.7,0.4,1.4,29,1.1,1.3,86.2,0.5,1.9,2.3,1.3,0.9,0.4,0.2,1.5,7.8,2014-12-17T08:30:59.724Z,2014-12-17T08:30:59.724Z,12.81
188, Kevin,Garnett,BKN,20,23.6,3.2,7.3,43.8,0,0.1,0,1.2,1.4,88.9,1.4,7.1,8.5,1.8,1.3,0.9,0.3,2.4,7.6,2014-12-17T08:30:59.726Z,2014-12-17T08:30:59.726Z,21.6
189, Darrell,Arthur,DEN,23,17.5,2.9,7,41.9,0.9,3,30,0.8,1,82.6,1.3,2.6,3.9,1.3,1,1,0.4,2.5,7.6,2014-12-17T08:30:59.729Z,2014-12-17T08:30:59.729Z,16.03
190, Kyle,Singler,DET,25,23.2,2.7,6.2,43.2,1.4,3.4,41.9,0.6,0.7,94.1,0.5,2,2.4,0.8,0.6,0.5,0.3,2,7.4,2014-12-17T08:30:59.739Z,2014-12-17T08:30:59.739Z,12.48
191, Beno,Udrih,MEM,23,17.8,3,5.7,53,0.3,1.2,21.4,1,1.2,81.5,0.1,1.4,1.5,3.5,1.2,0.5,0,1.3,7.3,2014-12-17T08:30:59.742Z,2014-12-17T08:30:59.742Z,14.15
192, James,Johnson,TOR,22,19.4,3.2,5.6,57.7,0.2,1,23.8,0.6,1,66.7,0.9,2.6,3.5,1.4,1,0.7,1.2,2.5,7.3,2014-12-17T08:30:59.751Z,2014-12-17T08:30:59.751Z,16.4
193, Nikola,Mirotic,CHI,24,17.8,2.2,5.3,41.4,0.8,2.5,33.3,1.9,2.3,80.4,0.7,4.7,5.4,1.1,0.9,0.4,0.8,2.5,7.1,2014-12-17T08:30:59.753Z,2014-12-17T08:30:59.753Z,16.73
194, Aron,Baynes,SA,25,16.9,2.9,4.8,60.3,0,0,100,1.2,1.5,81.6,1.6,3.3,4.9,0.5,1,0.2,0.4,2.9,7.1,2014-12-17T08:30:59.756Z,2014-12-17T08:30:59.756Z,13.93
195, Andre,Iguodala,GS,24,27.7,2.7,6.3,42.8,0.8,2.7,31.3,0.8,1.5,48.6,0.8,2.7,3.5,2.6,1.2,1.1,0.2,1.2,7,2014-12-17T08:30:59.758Z,2014-12-17T08:30:59.758Z,16.5
196, Jerryd,Bayless,MIL,25,19.4,2.3,5.2,44.2,0.4,1.3,34.4,1.9,2,98,0.1,1.6,1.7,2.4,1.4,0.8,0.1,1.9,6.9,2014-12-17T08:30:59.760Z,2014-12-17T08:30:59.760Z,12.94
197, Mason,Plumlee,BKN,23,16.9,2.6,5.6,46.5,0,0.1,0,1.5,3.7,40.5,2.3,3.2,5.6,0.7,0.8,0.5,0.7,2,6.7,2014-12-17T08:30:59.762Z,2014-12-17T08:30:59.762Z,16.07
198, Ed,Davis,LAL,25,22.3,2.9,4.7,61,0,0,N/A ,0.8,2.1,40.4,2.6,4.3,6.9,0.8,0.6,0.6,1.2,2.9,6.6,2014-12-17T08:30:59.764Z,2014-12-17T08:30:59.764Z,19.08
199, Caron,Butler,DET,25,24.2,2.4,6,40.7,1,2.9,35.6,0.7,0.8,89.5,0.5,3,3.5,0.6,0.8,0.4,0.1,1.8,6.6,2014-12-17T08:30:59.767Z,2014-12-17T08:30:59.767Z,11.9
200, Anthony,Bennett,MIN,23,17,2.9,6.2,46.2,0,0,0,0.7,1.2,63,0.8,3,3.8,1,0.6,0.6,0.5,1.7,6.5,2014-12-17T08:30:59.769Z,2014-12-17T08:30:59.769Z,14.16
201, Marvin,Williams,CHA,22,24.3,2.5,5.5,45.5,1.1,3,37.3,0.3,0.4,77.8,0.5,2.6,3.1,1,0.8,0.5,0.2,2,6.5,2014-12-17T08:30:59.771Z,2014-12-17T08:30:59.771Z,12.32
202, Spencer,Hawes,LAC,22,17,2.3,5.4,42,0.8,2.5,33.3,1,1.4,67.7,0.4,3.9,4.3,1.2,0.7,0.3,0.7,2.1,6.3,2014-12-17T08:30:59.773Z,2014-12-17T08:30:59.773Z,14.56
203, Ramon,Sessions,SAC,23,17.3,2,5.6,35.7,0.3,0.9,30,2,2.7,73.8,0.3,1.5,1.8,2.5,1.4,0.5,0,1.1,6.2,2014-12-17T08:30:59.776Z,2014-12-17T08:30:59.776Z,11.71
204, Shabazz,Napier,MIA,24,21.3,2,4.5,44,1,2.5,39.3,1,1.3,76.7,0.4,1.9,2.3,1.9,1.7,0.9,0,1.7,6,2014-12-17T08:30:59.778Z,2014-12-17T08:30:59.778Z,11.71
205, Shaun,Livingston,GS,24,17.6,2.5,4.8,51.7,0,0,0,0.9,1.1,77.8,0.6,1.5,2.1,2.8,1.5,0.8,0.2,1.5,5.9,2014-12-17T08:30:59.780Z,2014-12-17T08:30:59.780Z,13.12
206, Jason,Thompson,SAC,25,27.4,2.2,5.4,41.8,0,0,0,1.1,1.7,64.3,1.8,5.2,7,1.2,1.2,0.4,0.6,3.4,5.6,2014-12-17T08:30:59.782Z,2014-12-17T08:30:59.782Z,16.6
207, Rudy,Gobert,UTA,25,17.8,2.1,3.4,60.5,0,0,0,1.4,2.2,66.7,2.3,3.4,5.6,0.7,0.9,0.5,1.7,1.8,5.6,2014-12-17T08:30:59.785Z,2014-12-17T08:30:59.785Z,16.87
208, Quincy,Acy,NY,24,22.2,2.1,4.2,51,0,0.1,33.3,1,1.3,80,1.5,3.7,5.1,1.2,1.1,0.3,0.3,2.4,5.3,2014-12-17T08:30:59.787Z,2014-12-17T08:30:59.787Z,13.32
209, Shawn,Marion,CLE,23,24.2,2.2,5.2,42.9,0.4,1.2,35.7,0.5,0.6,78.6,0.9,2.6,3.5,1,0.7,0.6,0.7,1.2,5.3,2014-12-17T08:30:59.790Z,2014-12-17T08:30:59.790Z,12.9
210, Alex,Len,PHO,26,18.2,2.1,4,51.4,0,0.1,50,1,1.3,77.1,1.7,3,4.7,0.3,0.7,0.5,1,3.2,5.2,2014-12-17T08:30:59.792Z,2014-12-17T08:30:59.792Z,13.59
211, Jonas,Jerebko,DET,22,13.4,2,4.3,45.3,0.5,1.7,32.4,0.5,0.5,100,1,1.3,2.3,0.5,0.4,0.5,0.2,1.5,5,2014-12-17T08:30:59.794Z,2014-12-17T08:30:59.794Z,9.51
212, Robert,Sacre,LAL,24,14,2,4.4,45.3,0,0,N/A ,0.7,1,68,0.9,1.8,2.6,0.5,0.5,0.4,0.4,1.4,4.7,2014-12-17T08:30:59.797Z,2014-12-17T08:30:59.797Z,9.67
213, Dante,Exum,UTA,25,17.5,1.7,4.2,39.6,0.8,2.3,33.3,0.6,0.9,60.9,0.1,1.2,1.4,2,1,0.4,0.2,1.6,4.7,2014-12-17T08:30:59.799Z,2014-12-17T08:30:59.799Z,9.58
214, Damjan,Rudez,IND,24,16.5,1.5,3.7,41.6,0.8,2.3,32.7,0.5,0.8,66.7,0.1,0.6,0.7,0.8,0.5,0.2,0.2,1.3,4.3,2014-12-17T08:30:59.801Z,2014-12-17T08:30:59.801Z,6.64
215, Nick,Collison,OKC,24,17.4,1.5,4,36.5,0.5,1.7,27.5,0.7,1.1,59.3,1.1,2.3,3.4,1.4,0.8,0.5,0.4,2.8,4,2014-12-17T08:30:59.803Z,2014-12-17T08:30:59.803Z,11.18
216, Anthony,Tolliver,PHO,24,11.3,1.1,3.1,35.1,1,2.6,38.7,0.2,0.3,66.7,0.3,1.6,1.8,0.4,0.5,0.2,0,0.8,3.3,2014-12-17T08:30:59.806Z,2014-12-17T08:30:59.806Z,5.96
217, Joe,Ingles,UTA,25,16.9,1,2.7,36.8,0.5,1.9,25.5,0.1,0.2,60,0.2,1.2,1.3,1.7,0.7,0.7,0,1,2.6,2014-12-17T08:30:59.808Z,2014-12-17T08:30:59.808Z,7.41
